epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.578,1.09367,3.45321,1.28221,0.25974,0.48869,0.24136,0.15712,1.10492,2.6473,1.31224,0.00025442,0.00025442,0.00025442
2,204.89,1.164,2.69317,1.31146,0.27899,0.53531,0.36152,0.2394,1.10934,2.49064,1.25377,0.000460189,0.000460189,0.000460189
3,299.885,1.13334,2.45423,1.27703,0.33056,0.55817,0.46581,0.31742,1.09592,2.19755,1.20703,0.000615204,0.000615204,0.000615204
4,394.122,1.12525,2.28169,1.25211,0.34966,0.56027,0.4645,0.30487,1.12963,2.48332,1.2341,0.000540607,0.000540607,0.000540607
5,489.042,1.08398,2.151,1.23215,0.42297,0.5602,0.54784,0.37552,1.08452,2.46818,1.19441,0.000464476,0.000464476,0.000464476
6,582.649,1.0701,2.02259,1.20572,0.45669,0.66184,0.61885,0.42122,1.08057,1.77579,1.20462,0.000388345,0.000388345,0.000388345
7,676.973,1.05639,1.90195,1.20652,0.56352,0.63262,0.66569,0.43877,1.07518,1.71268,1.19212,0.000312214,0.000312214,0.000312214
8,793.465,1.03325,1.83468,1.1841,0.52064,0.6926,0.63704,0.42276,1.03977,1.69396,1.17819,0.000236083,0.000236083,0.000236083
9,918.953,1.00245,1.75557,1.17288,0.58135,0.67989,0.65824,0.45343,1.01717,1.70214,1.1558,0.000159952,0.000159952,0.000159952
10,1039.18,0.97088,1.69002,1.16394,0.64283,0.61455,0.67177,0.46877,1.01577,1.58304,1.14667,8.3821e-05,8.3821e-05,8.3821e-05
